"dbms","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CONSTRAINT_TYPE","REFERENCED_TABLE_SCHEMA","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
"mysql","hms","doctor_timings","status","6","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","medicine","medicinename","2","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","medicine","medicinecost","3","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","medicine","description","4","text","65535",NULL,NULL,NULL,NULL
"mysql","hms","medicine","status","5","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","orders","patientid","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","orders","doctorid","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","orders","prescriptionid","4","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","orders","orderdate","5","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","orders","deliverydate","6","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","orders","address","7","text","65535",NULL,NULL,NULL,NULL
"mysql","hms","orders","mobileno","8","varchar","15",NULL,NULL,NULL,NULL
"mysql","hms","orders","note","9","text","65535",NULL,NULL,NULL,NULL
"mysql","hms","orders","status","10","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","orders","payment_type","11","varchar","20",NULL,NULL,NULL,NULL
"mysql","hms","orders","card_no","12","varchar","20",NULL,NULL,NULL,NULL
"mysql","hms","orders","cvv_no","13","varchar","5",NULL,NULL,NULL,NULL
"mysql","hms","orders","expdate","14","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","orders","card_holder","15","varchar","50",NULL,NULL,NULL,NULL
"mysql","hms","patient","patientname","2","varchar","50",NULL,NULL,NULL,NULL
"mysql","hms","patient","admissiondate","3","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","patient","admissiontime","4","time",NULL,NULL,NULL,NULL,NULL
"mysql","hms","patient","address","5","varchar","250",NULL,NULL,NULL,NULL
"mysql","hms","patient","mobileno","6","varchar","15",NULL,NULL,NULL,NULL
"mysql","hms","patient","city","7","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","patient","pincode","8","varchar","20",NULL,NULL,NULL,NULL
"mysql","hms","patient","loginid","9","varchar","50",NULL,NULL,NULL,NULL
"mysql","hms","patient","password","10","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","patient","bloodgroup","11","varchar","20",NULL,NULL,NULL,NULL
"mysql","hms","patient","gender","12","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","patient","dob","13","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","patient","status","14","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","payment","patientid","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","payment","appointmentid","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","payment","paiddate","4","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","payment","paidtime","5","time",NULL,NULL,NULL,NULL,NULL
"mysql","hms","payment","paidamount","6","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","payment","status","7","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","payment","cardholder","8","varchar","50",NULL,NULL,NULL,NULL
"mysql","hms","payment","cardnumber","9","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","payment","cvvno","10","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","payment","expdate","11","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription","treatment_records_id","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription","doctorid","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription","patientid","4","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription","delivery_type","5","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","prescription","delivery_id","6","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription","prescriptiondate","7","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription","status","8","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","prescription","appointmentid","9","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription_records","prescription_id","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription_records","medicine_name","3","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","prescription_records","cost","4","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription_records","unit","5","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","prescription_records","dosage","6","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","prescription_records","status","7","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","room","roomtype","2","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","room","roomno","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","room","noofbeds","4","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","room","room_tariff","5","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","room","status","6","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","service_type","service_type","2","varchar","100",NULL,NULL,NULL,NULL
"mysql","hms","service_type","servicecharge","3","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","service_type","description","4","text","65535",NULL,NULL,NULL,NULL
"mysql","hms","service_type","status","5","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","treatment","treatmenttype","2","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","treatment","treatment_cost","3","decimal",NULL,NULL,NULL,NULL,NULL
"mysql","hms","treatment","note","4","text","65535",NULL,NULL,NULL,NULL
"mysql","hms","treatment","status","5","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","treatment_records","treatmentid","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","treatment_records","appointmentid","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","treatment_records","patientid","4","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","treatment_records","doctorid","5","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","treatment_records","treatment_description","6","text","65535",NULL,NULL,NULL,NULL
"mysql","hms","treatment_records","uploads","7","varchar","100",NULL,NULL,NULL,NULL
"mysql","hms","treatment_records","treatment_date","8","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","treatment_records","treatment_time","9","time",NULL,NULL,NULL,NULL,NULL
"mysql","hms","treatment_records","status","10","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","user","loginname","2","varchar","50",NULL,NULL,NULL,NULL
"mysql","hms","user","password","3","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","user","patientname","4","varchar","50",NULL,NULL,NULL,NULL
"mysql","hms","user","mobileno","5","varchar","15",NULL,NULL,NULL,NULL
"mysql","hms","user","email","6","varchar","50",NULL,NULL,NULL,NULL
"mysql","hms","user","createddateandtime","7","datetime",NULL,NULL,NULL,NULL,NULL
"mysql","motobike","contact_us","ID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","motobike","reservation","ID Bike","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","motobike","user","ID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__bookmark","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
